player_name,position_x,team,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists_x,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,GW,team_a,team_a_difficulty,team_h,team_h_difficulty,id_x,name,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,date,id_y,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
Robert Sánchez,GK,Brighton,69,22,Everton,2,True,2021-08-28,0,2,3,90,0,0,0,2,0,0,0,0,0,3,0,17,22.4,0.0,0.0,2.2,45,31641,1839826,88721,57080,3,Everton,3,Brighton,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,0,0.0,90,GK,Brighton,Everton,0,2,2021-08-28,16400,2021,478911,0.0,0,0,0,0.0,0.11142665892839433,0.11142665892839433
Shane Duffy,DEF,Brighton,56,22,Everton,1,True,2021-08-28,0,2,3,90,0,0,0,2,0,0,0,0,0,0,0,14,24.0,0.5,4.0,2.9,41,449332,901780,488118,38786,3,Everton,3,Brighton,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,1,0.05804872140288352,90,DC,Brighton,Everton,0,2,2021-08-28,16400,2021,478912,0.0,0,0,0,0.05804872140288352,0.13286685943603516,0.13286685943603516
Taylor Richards,MID,Brighton,537,22,Everton,1,True,2021-08-28,0,2,3,17,0,0,0,0,0,0,0,0,0,0,0,4,2.6,11.5,8.0,2.2,45,162,1162,325,163,3,Everton,3,Brighton,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,1,0.02142447233200073,14,Sub,Brighton,Everton,0,2,2021-08-28,16400,2021,478924,0.007314532529562713,0,1,0,0.02142447233200073,0.1747834086418152,0.14604440331459045
Yves Bissouma,MID,Brighton,70,22,Everton,1,True,2021-08-28,0,2,3,90,0,0,0,2,0,0,0,1,0,0,0,9,14.4,4.3,8.0,2.7,46,215885,1206675,286462,70577,3,Everton,3,Brighton,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,1,0.007314532529562713,90,MC,Brighton,Everton,0,2,2021-08-28,16400,2021,478917,0.0,0,0,0,0.007314532529562713,0.20184648036956787,0.20184648036956787
Adam Lallana,MID,Brighton,53,32,Brentford,3,False,2021-09-11,0,1,4,90,0,0,1,0,0,0,0,0,0,0,0,9,8.8,3.1,4.0,1.6,54,-1911,17558,1623,3534,4,Brighton,2,Brentford,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,0,0.0,90,MC,Brentford,Brighton,0,1,2021-09-11,16408,2021,480420,0.0,0,0,0,0.0,0.026735860854387283,0.026735860854387283
Adam Webster,DEF,Brighton,61,32,Brentford,1,False,2021-09-11,0,1,4,36,0,0,0,0,0,0,0,0,0,0,0,4,4.0,0.5,0.0,0.5,45,-3275,45588,6865,10140,4,Brighton,2,Brentford,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,0,0.0,36,DC,Brentford,Brighton,0,1,2021-09-11,16408,2021,480416,0.0,0,0,0,0.0,0.0,0.0
Alexis Mac Allister,MID,Brighton,74,32,Brentford,4,False,2021-09-11,0,1,4,26,0,1,0,0,0,0,0,0,0,0,0,16,23.8,12.8,10.0,4.7,55,-4838,47506,6121,10959,4,Brighton,2,Brentford,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,1,0.026735860854387283,21,Sub,Brentford,Brighton,0,1,2021-09-11,16408,2021,480425,0.09333088994026184,1,1,0,0.026735860854387283,0.12006675451993942,0.09333088994026184
Danny Welbeck,FWD,Brighton,447,32,Brentford,2,False,2021-09-11,0,1,4,63,0,0,1,0,0,0,0,0,0,0,0,4,6.4,3.2,17.0,2.7,60,1735,12382,3994,2259,4,Brighton,2,Brentford,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,1,0.1220747083425522,69,FW,Brentford,Brighton,0,1,2021-09-11,16408,2021,480424,0.0,0,0,0,0.1220747083425522,0.1220747083425522,0.0
Jakub Moder,MID,Brighton,75,32,Brentford,1,False,2021-09-11,0,1,4,53,0,0,0,0,0,0,0,0,0,0,0,2,1.6,2.3,2.0,0.6,45,3803,74808,19279,15476,4,Brighton,2,Brentford,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,0,0.0,54,Sub,Brentford,Brighton,0,1,2021-09-11,16408,2021,480426,0.0,0,0,0,0.0,0.16582685708999634,0.16582685708999634
Joël Veltman,DEF,Brighton,62,32,Brentford,6,False,2021-09-11,0,1,4,90,0,0,1,0,0,0,0,1,0,0,1,25,9.8,3.5,0.0,1.3,44,-26549,120868,10720,37269,4,Brighton,2,Brentford,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,0,0.0,90,MR,Brentford,Brighton,0,1,2021-09-11,16408,2021,480418,0.0,0,0,0,0.0,0.04576011002063751,0.04576011002063751
Leandro Trossard,MID,Brighton,64,32,Brentford,11,False,2021-09-11,0,1,4,90,1,0,1,0,0,0,0,0,0,0,3,28,45.0,30.2,25.0,10.0,64,-12445,52022,4994,17439,4,Brighton,2,Brentford,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,1,1,0.09333088994026184,90,AMC,Brentford,Brighton,0,1,2021-09-11,16408,2021,480422,0.1678348183631897,0,2,1,0.09333088994026184,0.2879015803337097,0.026735860854387283
Lewis Dunk,DEF,Brighton,59,32,Brentford,8,False,2021-09-11,0,1,4,90,0,0,1,0,0,0,0,0,0,0,2,26,12.2,1.3,0.0,1.4,50,-53893,376699,19290,73183,4,Brighton,2,Brentford,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,0,0.0,90,DC,Brentford,Brighton,0,1,2021-09-11,16408,2021,480417,0.0,0,0,0,0.0,0.14881056547164914,0.14881056547164914
