player_name,position,team,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,team_a,team_a_difficulty,team_h,team_h_difficulty,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,shots,xG,xA,key_passes,npg,npxG,xGChain,xGBuildup
John Fleck,MID,Sheffield Utd,0,0,9,0,28.5,1,0,3.7,8.2,2019-08-10,90,0,0,0,0,0,9891,1,1,0.0,1,0,0,0,50,False,1,1,Sheffield Utd,2,Bournemouth,3,3,1180,1170,1110,1050,1200,1180,0,0.0,0.04337755218148232,2,0,0.0,0.10455305874347688,0.10455305874347688
John Egan,DEF,Sheffield Utd,0,0,16,0,0.3,1,0,2.2,19.6,2019-08-10,90,0,0,0,0,0,10565,1,1,2.0,2,0,0,0,45,False,0,1,Sheffield Utd,2,Bournemouth,3,3,1180,1170,1110,1050,1200,1180,0,0.0,0.0,0,0,0.0,0.0,0.0
George Baldock,DEF,Sheffield Utd,0,0,1,0,3.8,1,0,0.7,0.4,2019-08-10,90,0,0,0,0,0,8980,1,1,3.0,2,0,0,0,45,False,0,1,Sheffield Utd,2,Bournemouth,3,3,1180,1170,1110,1050,1200,1180,1,0.018974760547280308,0.0,0,0,0.018974760547280308,0.10455305874347688,0.10455305874347688
Paul Dummett,DEF,Newcastle,0,0,24,0,0.8,1,0,2.8,27.6,2019-08-11,90,0,0,0,0,0,13306,1,0,0.0,2,0,0,0,45,True,0,1,Arsenal,2,Newcastle,3,3,1040,1030,990,980,1100,1090,0,0.0,0.0,0,0,0.0,0.012174292467534542,0.012174292467534542
Gabriel Fernando de Jesus,FWD,Man City,0,0,31,1,4.8,0,1,8.0,33.4,2019-08-10,68,0,0,0,0,0,126424,5,0,42.0,6,0,0,0,95,False,0,1,Man City,2,West Ham,4,5,1270,1260,1320,1320,1340,1330,2,0.20649389922618866,0.0,0,1,0.20649389922618866,0.37270256876945496,0.1662086695432663
Alisson Ramses Becker,GK,Liverpool,0,0,7,0,0.0,0,0,0.6,5.6,2019-08-09,38,0,0,0,0,2,1769075,1,4,0.0,1,0,0,0,60,True,0,1,Norwich,5,Liverpool,2,5,1320,1310,1330,1310,1350,1340,0,0.0,0.0,0,0,0.0,0.0,0.0
Che Adams,FWD,Southampton,0,0,-5,0,1.8,2,0,1.6,0.0,2019-08-10,72,0,0,0,0,0,75736,0,3,21.0,2,0,0,0,60,False,0,1,Southampton,3,Burnley,3,3,1050,1080,1080,1110,1040,1150,2,0.5918344855308533,0.0,0,0,0.5918344855308533,0.6597235798835754,0.06788909435272218
Tammy Abraham,FWD,Chelsea,0,0,1,0,0.8,2,0,2.4,0.0,2019-08-11,65,0,0,0,0,0,115213,0,4,24.0,1,0,0,0,70,False,1,1,Chelsea,4,Man Utd,4,4,1240,1240,1250,1220,1230,1220,2,0.09591280668973924,0.0,0,0,0.09591280668973924,0.0,0.0
João Filipe Iria Santos Moutinho,MID,Wolves,0,0,11,1,29.8,0,0,5.2,21.8,2019-08-11,90,0,0,0,0,0,397333,0,0,0.0,3,0,0,0,55,False,0,1,Wolves,3,Leicester,4,4,1230,1180,1200,1200,1190,1230,0,0.0,0.1257677972316742,2,0,0.0,0.0,0.0
Romain Saïss,DEF,Wolves,0,0,3,0,0.1,0,0,0.3,3.0,2019-08-11,9,0,0,0,0,0,17166,0,0,0.0,1,0,0,0,45,False,0,1,Wolves,3,Leicester,4,4,1230,1180,1200,1200,1190,1230,0,0.0,0.0,0,0,0.0,0.044236738234758384,0.044236738234758384
Rui Pedro dos Santos Patrício,GK,Wolves,0,0,23,1,0.0,0,0,0.8,7.6,2019-08-11,90,0,0,0,0,1,271369,0,0,0.0,6,0,0,0,50,False,0,1,Wolves,3,Leicester,4,4,1230,1180,1200,1200,1190,1230,0,0.0,0.0,0,0,0.0,0.044236738234758384,0.044236738234758384
