player_name,position_x,team,assists_x,bonus,bps,clean_sheets,creativity,FPL_ID,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,team_a,team_a_difficulty,team_h,team_h_difficulty,id_x,name,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,date,id_y,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
Declan Rice,MID,West Ham,0,0,12,1,1.2,395,40,0,0,2.0,17.8,2019-08-31,90,Norwich,0,0,0,0,4,0,136712,0,2,1.0,3,-13930,3279,17209,49,True,0,4,Norwich,2,West Ham,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,1,0.017841503024101257,90,DMC,West Ham,Norwich,2,0,2019-08-31,11674,2019,347403,0.0,0,0,0,0.017841503024101257,0.03818996995687485,0.02034846507012844
Issa Diop,DEF,West Ham,0,2,27,1,1.1,381,40,0,0,4.7,10.8,2019-08-31,90,Norwich,0,0,0,0,4,0,206335,0,2,35.0,8,-10713,7048,17761,45,True,0,4,Norwich,2,West Ham,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,2,0.09254323691129683,90,DC,West Ham,Norwich,2,0,2019-08-31,11674,2019,347400,0.0,0,0,0,0.09254323691129683,0.4040480852127075,0.3429495692253113
Lukasz Fabianski,GK,West Ham,0,0,26,1,0.0,388,40,0,0,2.0,20.0,2019-08-31,90,Norwich,0,0,0,0,4,3,289393,0,2,0.0,7,-14144,8439,22583,50,True,0,4,Norwich,2,West Ham,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,90,GK,West Ham,Norwich,2,0,2019-08-31,11674,2019,347398,0.0,0,0,0,0.0,0.0,0.0
Manuel Lanzini,MID,West Ham,0,0,13,1,59.4,391,40,0,0,12.0,17.0,2019-08-31,90,Norwich,0,0,0,0,4,0,215127,0,2,44.0,3,89164,114037,24873,65,True,0,4,Norwich,2,West Ham,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,4,0.5153323411941528,90,MC,West Ham,Norwich,2,0,2019-08-31,11674,2019,347405,0.1021767258644104,0,4,0,0.5153323411941528,0.714697003364563,0.6032730340957642
Mark Noble,MID,West Ham,0,0,20,1,18.7,396,40,0,0,3.9,16.2,2019-08-31,84,Norwich,0,0,0,0,4,0,41461,0,2,4.0,3,19235,24423,5188,50,True,0,4,Norwich,2,West Ham,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,88,MC,West Ham,Norwich,2,0,2019-08-31,11674,2019,347406,0.03857918083667755,0,1,0,0.0,0.3632980287075043,0.3632980287075043
Pablo Fornals,MID,West Ham,0,0,4,0,0.8,399,40,0,0,0.2,1.2,2019-08-31,2,Norwich,0,0,0,0,4,0,34899,0,2,0.0,1,-9177,672,9849,63,True,0,4,Norwich,2,West Ham,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,1,Sub,West Ham,Norwich,2,0,2019-08-31,11674,2019,347410,0.0,0,0,0,0.0,0.017841503024101257,0.017841503024101257
Robert Snodgrass,MID,West Ham,0,0,-1,0,16.2,393,40,0,0,4.1,4.0,2019-08-31,19,Norwich,0,0,0,0,4,0,14817,0,2,21.0,0,-1991,348,2339,54,True,1,4,Norwich,2,West Ham,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,1,0.12518875300884247,16,Sub,West Ham,Norwich,2,0,2019-08-31,11674,2019,347411,0.022688087075948715,0,1,0,0.12518875300884247,0.16822530329227448,0.02034846507012844
Ryan Fredericks,DEF,West Ham,0,0,20,1,12.0,380,40,0,0,2.8,6.0,2019-08-31,90,Norwich,0,0,0,0,4,0,24243,0,2,10.0,5,1730,4366,2636,45,True,1,4,Norwich,2,West Ham,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,90,DR,West Ham,Norwich,2,0,2019-08-31,11674,2019,347399,0.06109851971268654,0,1,0,0.0,0.0,0.0
Sébastien Haller,FWD,West Ham,0,2,27,1,6.6,457,40,0,1,13.8,41.8,2019-08-31,90,Norwich,0,0,0,0,4,0,339233,0,2,90.0,8,152534,181986,29452,74,True,0,4,Norwich,2,West Ham,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,1,4,1.1311509609222412,90,FW,West Ham,Norwich,2,0,2019-08-31,11674,2019,347408,0.0,0,0,1,1.1311509609222412,1.2941521406173706,0.19554322957992554
Andriy Yarmolenko,MID,West Ham,0,0,6,1,12.8,392,41,0,0,3.6,2.0,2019-09-16,61,Aston Villa,0,0,0,0,5,0,19489,0,0,21.0,3,8215,10828,2613,59,False,0,5,West Ham,2,Aston Villa,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,2,0.09513599425554277,64,MR,Aston Villa,West Ham,0,0,2019-09-16,11692,2019,350197,0.01331569068133831,0,1,0,0.09513599425554277,0.1704537719488144,0.07531778514385222
Angelo Ogbonna,DEF,West Ham,0,0,21,1,0.6,377,41,0,0,1.2,11.8,2019-09-16,90,Aston Villa,0,0,0,0,5,0,22789,0,0,0.0,6,1059,2132,1073,45,False,0,5,West Ham,2,Aston Villa,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,90,DC,Aston Villa,West Ham,0,0,2019-09-16,11692,2019,350194,0.0,0,0,0,0.0,0.0,0.0
Arthur Masuaku,DEF,West Ham,0,0,16,1,17.5,378,41,0,0,3.4,7.6,2019-09-16,66,Aston Villa,0,0,0,1,5,0,87409,0,0,9.0,3,53996,65621,11625,45,False,0,5,West Ham,2,Aston Villa,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,1,0.01331569068133831,69,DL,Aston Villa,West Ham,0,0,2019-09-16,11692,2019,350195,0.03886361792683602,0,1,0,0.01331569068133831,0.12566180527210236,0.08679819107055664
Declan Rice,MID,West Ham,0,0,16,1,15.2,395,41,0,0,5.4,20.8,2019-09-16,90,Aston Villa,0,0,0,0,5,0,132772,0,0,18.0,3,-6270,6127,12397,49,False,0,5,West Ham,2,Aston Villa,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,2,0.042259331792592995,90,DMC,Aston Villa,West Ham,0,0,2019-09-16,11692,2019,350196,0.020256567746400837,0,1,0,0.042259331792592995,0.24774980545043945,0.1852339059114456
Fabián Balbuena,DEF,West Ham,0,0,3,0,0.0,382,41,0,0,0.0,0.0,2019-09-16,1,Aston Villa,0,0,0,0,5,0,21481,0,0,0.0,1,-2243,705,2948,44,False,0,5,West Ham,2,Aston Villa,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,1,Sub,Aston Villa,West Ham,0,0,2019-09-16,11692,2019,350203,0.0,0,0,0,0.0,0.0,0.0
