player_name,position_x,team,assists_x,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,team_a,team_a_difficulty,team_h,team_h_difficulty,id_x,name,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,date,id_y,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
Joseph Gomez,DEF,Liverpool,0,0,14,0,0.5,184,237,1,0,2.3,22.6,2020-01-23,90,Wolves,0,0,0,0,24,0,327567,2,1,0.0,2,71978,95510,23532,52,False,0,24,Liverpool,3,Wolves,4,10,Liverpool,LIV,5,1320,1310,1330,1310,1350,1340,0,0,0.0,90,DC,Wolverhampton Wanderers,Liverpool,1,2,2020-01-23,11874,2019,386541,0.0,0,0,0,0.0,0.0,0.0
Mohamed Salah,MID,Liverpool,0,0,12,0,18.5,191,237,1,0,11.5,10.8,2020-01-23,84,Wolves,0,0,0,0,24,0,2229655,2,1,86.0,2,283380,299473,16093,124,False,0,24,Liverpool,3,Wolves,4,10,Liverpool,LIV,5,1320,1310,1330,1310,1350,1340,0,6,0.5431440472602844,87,FWR,Wolverhampton Wanderers,Liverpool,1,2,2020-01-23,11874,2019,386546,0.055600747466087334,0,1,0,0.5431440472602844,0.6550807356834412,0.11193666607141496
Roberto Firmino,FWD,Liverpool,0,1,34,0,27.1,187,237,1,1,15.2,51.4,2020-01-23,90,Wolves,0,0,0,0,24,0,1199018,2,1,73.0,7,361083,390466,29383,95,False,0,24,Liverpool,3,Wolves,4,10,Liverpool,LIV,5,1320,1310,1330,1310,1350,1340,1,4,0.8597580790519714,90,FW,Wolverhampton Wanderers,Liverpool,1,2,2020-01-23,11874,2019,386547,0.18319509923458102,0,2,1,0.8597580790519714,0.7382743358612059,0.3371844291687012
Trent Alexander-Arnold,DEF,Liverpool,1,0,26,0,29.7,182,237,1,0,7.4,36.6,2020-01-23,90,Wolves,0,0,0,0,24,0,3073147,2,1,8.0,5,152061,167963,15902,76,False,0,24,Liverpool,3,Wolves,4,10,Liverpool,LIV,5,1320,1310,1330,1310,1350,1340,0,1,0.07502423971891402,90,DR,Wolverhampton Wanderers,Liverpool,1,2,2020-01-23,11874,2019,386539,0.07365551590919495,1,1,0,0.07502423971891402,0.21789483726024628,0.21789483726024628
Virgil van Dijk,DEF,Liverpool,0,0,18,0,0.2,183,237,1,0,2.2,19.8,2020-01-23,90,Wolves,0,0,0,0,24,0,3177803,2,1,2.0,2,197071,222215,25144,64,False,0,24,Liverpool,3,Wolves,4,10,Liverpool,LIV,5,1320,1310,1330,1310,1350,1340,0,0,0.0,90,DC,Wolverhampton Wanderers,Liverpool,1,2,2020-01-23,11874,2019,386540,0.0,0,0,0,0.0,0.10595817118883133,0.10595817118883133
Anwar El Ghazi,MID,Aston Villa,0,0,6,1,2.3,30,271,0,0,1.7,3.0,2020-06-17,68,Sheffield Utd,0,0,0,0,39,0,94136,0,0,12.0,3,33147,48826,15679,55,True,0,30,Sheffield Utd,2,Aston Villa,3,2,Aston Villa,AVL,2,980,970,1040,1000,1050,1020,0,1,0.010938579216599464,70,FWR,Aston Villa,Sheffield United,0,0,2020-06-17,11913,2019,400330,0.0,0,0,0,0.010938579216599464,0.10439299792051317,0.10439299792051317
Conor Hourihane,MID,Aston Villa,0,0,16,1,104.3,28,271,0,0,15.0,26.8,2020-06-17,90,Sheffield Utd,0,0,0,0,39,0,11538,0,0,19.0,3,830,1644,814,57,True,0,30,Sheffield Utd,2,Aston Villa,3,2,Aston Villa,AVL,2,980,970,1040,1000,1050,1020,0,1,0.01964474469423294,90,MC,Aston Villa,Sheffield United,0,0,2020-06-17,11913,2019,400328,0.3628586232662201,0,7,0,0.01964474469423294,0.0,0.0
Ezri Konsa Ngoyo,DEF,Aston Villa,0,0,25,1,5.4,452,271,0,0,1.4,9.0,2020-06-17,75,Sheffield Utd,0,0,0,0,39,0,7100,0,0,0.0,6,230,962,732,43,True,0,30,Sheffield Utd,2,Aston Villa,3,2,Aston Villa,AVL,2,980,970,1040,1000,1050,1020,0,0,0.0,77,DR,Aston Villa,Sheffield United,0,0,2020-06-17,11913,2019,400323,0.0,0,0,0,0.0,0.10439299792051317,0.10439299792051317
Jack Grealish,MID,Aston Villa,0,0,13,1,46.8,29,271,0,0,6.2,9.6,2020-06-17,90,Sheffield Utd,0,0,0,0,39,0,2035690,0,0,6.0,3,493444,646955,153511,64,True,0,30,Sheffield Utd,2,Aston Villa,3,2,Aston Villa,AVL,2,980,970,1040,1000,1050,1020,0,0,0.0,90,FWL,Aston Villa,Sheffield United,0,0,2020-06-17,11913,2019,400332,0.14886246621608734,0,3,0,0.0,0.051637496799230576,0.0
John McGinn,MID,Aston Villa,0,0,8,1,0.8,31,271,0,0,3.7,10.4,2020-06-17,75,Sheffield Utd,0,0,0,0,39,0,296692,0,0,26.0,3,94135,131761,37626,54,True,0,30,Sheffield Utd,2,Aston Villa,3,2,Aston Villa,AVL,2,980,970,1040,1000,1050,1020,0,2,0.13796423375606534,77,MC,Aston Villa,Sheffield United,0,0,2020-06-17,11913,2019,400329,0.0,0,0,0,0.13796423375606534,0.051637496799230576,0.0
Keinan Davis,MID,Aston Villa,0,0,-3,1,1.0,34,271,0,0,8.6,0.0,2020-06-17,68,Sheffield Utd,0,0,0,0,39,0,18628,0,0,86.0,3,1127,2905,1778,43,True,0,30,Sheffield Utd,2,Aston Villa,3,2,Aston Villa,AVL,2,980,970,1040,1000,1050,1020,0,5,0.6730524897575378,70,FW,Aston Villa,Sheffield United,0,0,2020-06-17,11913,2019,400331,0.0,0,0,0,0.6730524897575378,0.10439299792051317,0.0
Kortney Hause,DEF,Aston Villa,0,0,24,1,10.4,25,271,0,0,8.7,7.0,2020-06-17,90,Sheffield Utd,0,0,0,0,39,0,5304,0,0,70.0,6,283,600,317,44,True,0,30,Sheffield Utd,2,Aston Villa,3,2,Aston Villa,AVL,2,980,970,1040,1000,1050,1020,0,5,0.16717053949832916,90,DC,Aston Villa,Sheffield United,0,0,2020-06-17,11913,2019,400324,0.3620731830596924,0,1,0,0.16717053949832916,0.10439299792051317,0.10439299792051317
