name,position,team,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,GW
Mahmoud Ahmed Ibrahim Hassan,MID,Aston Villa,37,58,13,0,False,2021-09-25T11:30:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-19,827,82,101,6
Malang Sarr,DEF,Chelsea,501,53,12,0,True,2021-09-25T11:30:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-100,5057,350,450,6
Manuel Lanzini,MID,West Ham,416,56,10,0,False,2021-09-25T14:00:00Z,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,135,9983,1202,1067,6
Marcos Alonso,DEF,Chelsea,122,53,12,1,True,2021-09-25T11:30:00Z,0,1,6,90,0,0,0,1,0,0,0,1,0,0,0,7,4.0,3.7,12.0,2.0,58,264713,1566955,307756,43043,6
Marco Stiepermann,MID,Norwich,316,55,8,0,False,2021-09-25T14:00:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-2,48,0,2,6
Marcus Bettinelli,GK,Chelsea,606,53,12,0,True,2021-09-25T11:30:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,414,638,529,115,6
Marcus Forss,FWD,Brentford,88,52,11,0,True,2021-09-25T16:30:00Z,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-669,9111,1081,1750,6
Marcus Rashford,MID,Man Utd,281,58,2,0,True,2021-09-25T11:30:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,94,-454,11988,203,657,6
Marc Albrighton,MID,Leicester,202,57,5,0,True,2021-09-25T14:00:00Z,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1857,19012,1340,3197,6
Marc Cucurella,DEF,Brighton,584,54,7,1,False,2021-09-27T19:00:00Z,1,1,6,90,0,0,0,1,0,0,0,1,0,0,0,8,17.6,8.1,2.0,2.8,50,8351,52549,13616,5265,6
Marc Guéhi,DEF,Crystal Palace,477,54,4,2,True,2021-09-27T19:00:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,17,10.8,2.1,0.0,1.3,45,984,31079,3004,2020,6
Marc Navarro,DEF,Watford,398,60,14,0,True,2021-09-25T14:00:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-3956,30894,0,3956,6
Mark Gillespie,GK,Newcastle,514,60,18,0,False,2021-09-25T14:00:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-837,29626,792,1629,6
Mark Noble,MID,West Ham,406,56,10,0,False,2021-09-25T14:00:00Z,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1469,49505,4669,6138,6
Martin Dubravka,GK,Newcastle,295,60,18,0,False,2021-09-25T14:00:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-405,8204,181,586,6
Martin Kelly,DEF,Crystal Palace,151,54,4,0,True,2021-09-27T19:00:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-3888,74629,1559,5447,6
Martin Ødegaard,MID,Arsenal,558,51,17,1,True,2021-09-26T15:30:00Z,3,1,6,90,0,0,0,1,0,0,0,1,0,0,0,8,9.4,48.5,4.0,6.2,55,84008,208131,100690,16682,6
Marvelous Nakamba,MID,Aston Villa,41,58,13,0,False,2021-09-25T11:30:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-334,20016,1760,2094,6
Mason Greenwood,MID,Man Utd,289,58,2,2,True,2021-09-25T11:30:00Z,0,1,6,90,0,0,0,1,0,0,0,0,0,0,0,8,13.6,39.1,109.0,16.2,77,-29597,1513826,122971,152568,6
Mason Holgate,DEF,Everton,178,55,15,0,True,2021-09-25T14:00:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-7997,62879,3719,11716,6
Mason Mount,MID,Chelsea,138,53,12,0,True,2021-09-25T11:30:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,74,-305307,858536,17365,322672,6
Matej Vydra,FWD,Burnley,111,57,9,5,False,2021-09-25T14:00:00Z,2,2,6,74,0,1,0,1,0,0,0,0,0,0,0,16,26.2,22.0,27.0,7.5,53,-2882,31557,1659,4541,6
Mateo Kovacic,MID,Chelsea,125,53,12,2,True,2021-09-25T11:30:00Z,0,1,6,90,0,0,0,1,0,0,0,0,0,0,0,15,17.6,5.2,8.0,3.1,52,199082,575474,235270,36188,6
Mateusz Klich,MID,Leeds,186,56,19,5,True,2021-09-25T14:00:00Z,1,2,6,90,0,1,0,2,0,0,0,0,0,0,0,19,26.4,34.3,44.0,10.5,55,-2686,47188,4990,7676,6
Mathew Ryan,GK,Brighton,65,54,7,0,False,2021-09-27T19:00:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-38,770,0,38,6
Mathias Jensen,MID,Brentford,86,52,11,0,True,2021-09-25T16:30:00Z,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-116,2410,165,281,6
Mathias Jorgensen,DEF,Brentford,594,52,11,0,True,2021-09-25T16:30:00Z,3,3,6,47,0,0,0,2,0,0,0,0,0,0,0,4,8.8,0.4,0.0,0.9,45,41,739,147,106,6
Mathias Normann,MID,Norwich,581,55,8,2,False,2021-09-25T14:00:00Z,2,0,6,68,0,0,0,1,0,0,0,0,0,0,0,8,12.8,15.5,15.0,4.3,45,5022,8067,6180,1158,6
Matthew Cash,DEF,Aston Villa,44,58,13,5,False,2021-09-25T11:30:00Z,0,1,6,90,0,0,1,0,0,0,0,1,0,0,0,21,15.8,11.7,2.0,3.0,50,46335,170495,58274,11939,6
Matthew Longstaff,MID,Newcastle,312,60,18,0,False,2021-09-25T14:00:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-664,5103,0,664,6
Matthew Lowton,DEF,Burnley,110,57,9,1,False,2021-09-25T14:00:00Z,2,2,6,90,0,0,0,2,0,0,0,0,0,0,0,15,32.4,25.4,0.0,5.8,44,-6826,120651,4726,11552,6
Matthew Pollock,DEF,Watford,454,60,14,0,True,2021-09-25T14:00:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-4007,39187,0,4007,6
Matt Doherty,DEF,Spurs,360,51,1,0,False,2021-09-26T15:30:00Z,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-2881,28119,610,3491,6
Matt Ritchie,DEF,Newcastle,292,60,18,1,False,2021-09-25T14:00:00Z,1,1,6,90,0,0,0,1,0,0,0,1,0,0,0,16,15.6,43.9,12.0,7.2,50,-1911,21792,2017,3928,6
Matt Targett,DEF,Aston Villa,39,58,13,6,False,2021-09-25T11:30:00Z,0,1,6,90,0,0,1,0,0,0,0,0,0,0,0,15,3.0,3.8,7.0,1.4,48,-18639,235577,3487,22126,6
Mattéo Guendouzi,MID,Arsenal,25,51,17,0,True,2021-09-26T15:30:00Z,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-6,114,0,6,6
Maxwel Cornet,MID,Burnley,578,57,9,5,False,2021-09-25T14:00:00Z,2,2,6,45,1,0,0,1,0,0,0,1,0,0,0,17,32.0,0.9,23.0,5.6,60,532,2214,911,379,6
Max Aarons,DEF,Norwich,326,55,8,1,False,2021-09-25T14:00:00Z,2,0,6,90,0,0,0,2,0,0,0,0,0,0,0,11,9.0,1.9,1.0,1.2,44,-7747,125315,5187,12934,6
Max Kilman,DEF,Wolves,439,59,16,6,False,2021-09-26T13:00:00Z,0,1,6,90,0,0,1,0,0,0,0,0,0,0,0,20,10.4,1.5,2.0,1.4,45,-1276,30487,1916,3192,6
Mbwana Ally Samatta,FWD,Aston Villa,48,58,13,0,False,2021-09-25T11:30:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-3,69,0,3,6
Michael Keane,DEF,Everton,169,55,15,8,True,2021-09-25T14:00:00Z,2,0,6,90,0,0,1,0,0,0,0,0,0,0,2,28,14.2,10.3,4.0,2.9,50,34371,250234,51810,17439,6
Michael McGovern,GK,Norwich,313,55,8,0,False,2021-09-25T14:00:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-669,61180,2092,2761,6
Michael Obafemi,FWD,Southampton,348,59,20,0,True,2021-09-26T13:00:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-77066,472511,0,77066,6
Michael Olise,MID,Crystal Palace,464,54,4,0,True,2021-09-27T19:00:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-69,2244,173,242,6
Michail Antonio,FWD,West Ham,413,56,10,8,False,2021-09-25T14:00:00Z,1,2,6,90,1,0,0,1,0,0,0,1,0,0,3,34,41.8,46.7,99.0,18.8,79,769909,3358752,889821,119912,6
Michal Karbownik,DEF,Brighton,536,54,7,0,False,2021-09-27T19:00:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-464,4405,0,464,6
Michy Batshuayi,FWD,Chelsea,126,53,12,0,True,2021-09-25T11:30:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-478,5419,0,478,6
Miguel Almirón,MID,Newcastle,308,60,18,2,False,2021-09-25T14:00:00Z,1,1,6,78,0,0,0,1,0,0,0,0,0,0,0,15,11.6,13.4,12.0,3.7,54,-2786,32889,3965,6751,6
Milot Rashica,MID,Norwich,449,55,8,1,False,2021-09-25T14:00:00Z,2,0,6,21,0,0,0,1,0,0,0,0,0,0,0,4,2.0,10.3,0.0,1.2,54,-1572,11156,610,2182,6
Mohamed Naser El Sayed Elneny,MID,Arsenal,12,51,17,0,True,2021-09-26T15:30:00Z,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-2583,31264,1280,3863,6
Mohamed Elyounoussi,MID,Southampton,517,59,20,2,True,2021-09-26T13:00:00Z,0,1,6,90,0,0,0,1,0,0,0,0,0,0,0,6,6.8,2.8,33.0,4.3,55,4375,14081,5981,1606,6
Mohamed Salah,MID,Liverpool,233,52,3,7,False,2021-09-25T16:30:00Z,3,3,6,90,1,0,0,3,0,0,0,0,0,0,0,19,36.8,14.5,47.0,9.8,126,243759,4808143,271173,27414,6
Mohammed Salisu,DEF,Southampton,351,59,20,2,True,2021-09-26T13:00:00Z,0,1,6,90,0,0,0,1,0,0,0,0,0,0,0,12,12.8,12.3,0.0,2.5,45,2187,16715,3622,1435,6
Moise Kean,FWD,Everton,564,55,15,0,True,2021-09-25T14:00:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-157,1350,0,157,6
Moisés Caicedo,MID,Brighton,538,54,7,0,False,2021-09-27T19:00:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-78,593,0,78,6
Morgan Gibbs-White,MID,Wolves,440,59,16,0,False,2021-09-26T13:00:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-2672,17805,0,2672,6
Morgan Sanson,MID,Aston Villa,34,58,13,0,False,2021-09-25T11:30:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-53,1130,142,195,6
Moussa Djenepo,MID,Southampton,350,59,20,1,True,2021-09-26T13:00:00Z,0,1,6,26,0,0,0,0,0,0,0,0,0,0,0,3,0.0,1.7,6.0,0.7,54,-377,5195,226,603,6
Moussa Sissoko,MID,Watford,354,60,14,2,True,2021-09-25T14:00:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,13,21.4,14.7,7.0,4.3,45,7633,256753,28009,20376,6
N'Golo Kanté,MID,Chelsea,130,53,12,1,True,2021-09-25T11:30:00Z,0,1,6,59,0,0,0,1,0,0,0,0,0,0,0,2,9.8,0.9,0.0,1.1,49,38332,262256,50791,12459,6
Naby Keita,MID,Liverpool,239,52,3,0,False,2021-09-25T16:30:00Z,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,844,19055,5440,4596,6
