"player_name","kickoff_time","GW","season","total_points","automl"
"James McArthur",1600473600000,2,2020,2,2.4077268514309194
"James McCarthy",1600473600000,2,2020,2,2.308856300288115
"James Milner",1600560000000,2,2020,1,1.3094572621352836
"James Rodríguez",1600473600000,2,2020,12,4.3315422494244995
"James Ward-Prowse",1600560000000,2,2020,2,3.329018267461348
"Jamie Vardy",1600560000000,2,2020,2,7.3457757152914
"Jan Bednarek",1600560000000,2,2020,0,2.5237699407069485
"Jarrod Bowen",1600473600000,2,2020,2,3.5530661019071204
"Javier Manquillo",1600560000000,2,2020,1,3.259499382781679
"Jay Rodriguez",1600560000000,2,2020,1,4.035702373348666
"Jeff Hendrick",1600560000000,2,2020,2,2.7914081207127546
"Jeffrey Schlupp",1600473600000,2,2020,7,2.377059442309601
"Jimmy Dunne",1600560000000,2,2020,6,2.316701567722331
"Joe Bryan",1600473600000,2,2020,3,2.4886077459220437
"Joel Ward",1600473600000,2,2020,1,2.2012064130014894
"Joelinton Cássio Apolinário de Lira",1600560000000,2,2020,1,1.5171648094595749
"John Egan",1600646400000,2,2020,-2,3.9941602214008327
"John Fleck",1600646400000,2,2020,2,4.123263722331883
"John Lundstram",1600646400000,2,2020,-1,4.476716869925276
"John McGinn",1600646400000,2,2020,2,4.156618623736267
"John Stones",1600646400000,2,2020,2,2.529893593725437
"Jonjo Shelvey",1600560000000,2,2020,1,3.8630383192038473
"Jordan Ayew",1600473600000,2,2020,5,3.6613432701330537
"Jordan Henderson",1600560000000,2,2020,1,3.309501201049856
"Jordan Pickford",1600473600000,2,2020,1,2.9266705859214834
"Jorge Luiz Frello Filho",1600560000000,2,2020,0,2.0421965833372537
"Josh Brownhill",1600560000000,2,2020,2,2.550647579544474
"Josh Onomah",1600473600000,2,2020,1,2.5750641282556908
"João Filipe Iria Santos Moutinho",1600646400000,2,2020,2,2.739174666398111
"Kai Havertz",1600560000000,2,2020,1,3.419312745781057
"Kalvin Phillips",1600473600000,2,2020,2,4.076285452081861
"Karl Darlow",1600560000000,2,2020,2,4.7113226631612575
"Kasper Schmeichel",1600560000000,2,2020,2,3.779840087028032
"Keinan Davis",1600646400000,2,2020,1,1.423781812467292
"Kenny Tete",1600473600000,2,2020,2,3.086996191492965
"Kepa Arrizabalaga",1600560000000,2,2020,2,2.290301729390463
"Kevin De Bruyne",1600646400000,2,2020,13,5.866666946518205
"Kevin Long",1600560000000,2,2020,0,2.814824864879376
"Kieran Gibbs",1600473600000,2,2020,-4,2.0336034276575083
"Kurt Zouma",1600560000000,2,2020,1,2.19336473986454
"Kyle Bartley",1600473600000,2,2020,0,1.874533271325117
"Kyle Edwards",1600473600000,2,2020,1,1.1306103915374952
"Kyle Walker",1600646400000,2,2020,2,2.429692984596581
"Kyle Walker-Peters",1600560000000,2,2020,3,2.4756269632345096
"Leander Dendoncker",1600646400000,2,2020,1,0.9635776060085586
"Leandro Trossard",1600560000000,2,2020,6,3.240048284524917
"Lewis Dunk",1600560000000,2,2020,7,4.263854975512811
"Liam Cooper",1600473600000,2,2020,1,3.225918455268232
"Lucas Digne",1600473600000,2,2020,1,3.5326709761637636
"Lucas Rodrigues Moura da Silva",1600560000000,2,2020,2,3.735832352973509
"Luka Milivojevic",1600473600000,2,2020,1,1.033097786778707
"Lukasz Fabianski",1600473600000,2,2020,1,3.1238123241090507
"Luke Ayling",1600473600000,2,2020,1,2.8499866122684776
"Luke Shaw",1600473600000,2,2020,1,3.1542504221088223
"Mahmoud Ahmed Ibrahim Hassan",1600646400000,2,2020,3,4.135093350590134
"Mamadou Sakho",1600473600000,2,2020,2,1.7579295354861781
"Marc Albrighton",1600560000000,2,2020,1,1.6579954838530138
"Marcos Alonso",1600560000000,2,2020,1,3.5142924702896585
"Marcus Rashford",1600473600000,2,2020,2,7.15412265492057
"Mario Lemina",1600473600000,2,2020,1,1.012581981066196
