player_name,position,team,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,GW,team_a,team_a_difficulty,team_h,team_h_difficulty,id,name,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home
Marcos Alonso,DEF,Chelsea,104,283,Liverpool,0,False,2021-03-04,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-14566,261456,22491,37057,26,Chelsea,3,Liverpool,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Mason Mount,MID,Chelsea,120,283,Liverpool,11,False,2021-03-04,0,1,26,80,1,0,1,0,0,0,0,0,0,0,3,33,39.0,35.8,24.0,9.9,68,68852,517535,102220,33368,26,Chelsea,3,Liverpool,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Mateo Kovacic,MID,Chelsea,107,283,Liverpool,1,False,2021-03-04,0,1,26,9,0,0,0,0,0,0,0,0,0,0,0,4,1.2,1.2,0.0,0.2,53,283,21671,1279,996,26,Chelsea,3,Liverpool,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
N'Golo Kanté,MID,Chelsea,113,283,Liverpool,6,False,2021-03-04,0,1,26,90,0,1,1,0,0,0,0,0,0,0,0,23,31.8,16.8,1.0,5.0,49,-722,187155,1748,2470,26,Chelsea,3,Liverpool,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Olivier Giroud,FWD,Chelsea,103,283,Liverpool,0,False,2021-03-04,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,67,1882,118179,19229,17347,26,Chelsea,3,Liverpool,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Reece James,DEF,Chelsea,123,283,Liverpool,6,False,2021-03-04,0,1,26,90,0,0,1,0,0,0,0,0,0,0,0,25,6.4,12.0,2.0,2.0,50,-21362,499508,12205,33567,26,Chelsea,3,Liverpool,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Tammy Abraham,FWD,Chelsea,118,283,Liverpool,0,False,2021-03-04,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,71,-9298,194982,6297,15595,26,Chelsea,3,Liverpool,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Thiago Thiago,DEF,Chelsea,490,283,Liverpool,0,False,2021-03-04,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-24219,229040,520,24739,26,Chelsea,3,Liverpool,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Timo Werner,FWD,Chelsea,117,283,Liverpool,2,False,2021-03-04,0,1,26,90,0,0,1,0,0,0,0,0,0,0,0,-3,8.8,11.8,43.0,6.4,92,-62681,937537,28529,91210,26,Chelsea,3,Liverpool,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Willy Caballero,GK,Chelsea,101,283,Liverpool,0,False,2021-03-04,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-116,15690,65,181,26,Chelsea,3,Liverpool,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Andreas Christensen,DEF,Chelsea,116,354,Arsenal,0,True,2021-05-12,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,15360,119425,20969,5609,35,Arsenal,4,Chelsea,3,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Antonio Rüdiger,DEF,Chelsea,109,354,Arsenal,0,True,2021-05-12,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-37586,469785,17950,55536,35,Arsenal,4,Chelsea,3,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
