,GW,player_name,total_points,was_home,team_h,team_h_difficulty,team_h_score,team_h_strength_attack,team_h_strength_defense,team_h_strength_overall,team_a,team_a_difficulty,team_a_score,team_h_strength_attack,team_h_strength_defense,team_h_strength_overall,position,goals_scored,goals_conceded,assists_x,clean_sheets,penalties_saved,penalties_missed,saves,own_goals,red_cards,yellow_cards,minutes,selected,value,bonus,bps,transfers_balance,transfers_in,transfers_out,influence,creativity,threat,ict_index,kickoff_time,shots,key_passes,xG,xA,npg,npxG,xGChain,xGBuildup
4223,1,Robin Koch,0,False,Liverpool,3,4,[1190],[1300],[1245.],Leeds,3,3,[1190],[1300],[1245.],DEF,0,4,0,0,0,0,0,0,0,0,90,33230,45,0,14,0,0,0,23.4,0.2,18.0,4.2,2020-09-12,1,0,0.03137226775288582,0.0,0,0.03137226775288582,0.03137226775288582,0.0
4224,1,Stuart Dallas,3,False,Liverpool,3,4,[1190],[1300],[1245.],Leeds,3,3,[1190],[1300],[1245.],DEF,0,4,1,0,0,0,0,0,0,0,90,256415,45,0,21,0,0,0,23.2,1.3,2.0,2.7,2020-09-12,0,0,0.0,0.0,0,0.0,0.13146540522575378,0.13146540522575378
4225,1,Tyler Roberts,1,False,Liverpool,3,4,[1190],[1300],[1245.],Leeds,3,3,[1190],[1300],[1245.],MID,0,1,0,0,0,0,0,0,0,0,28,4908,50,0,5,0,0,0,7.2,0.0,0.0,0.7,2020-09-12,0,0,0.0,0.0,0,0.0,0.0,0.0
1392,1,Allan Saint-Maximin,3,False,West Ham,2,0,[1140],[1260],[1200.],Newcastle,4,2,[1140],[1260],[1200.],MID,0,0,0,1,0,0,0,0,0,0,74,1361562,55,0,7,0,0,0,3.8,2.8,5.0,1.2,2020-09-12,1,0,0.023493839427828792,0.0,0,0.023493839427828792,0.3001856803894043,0.2766918241977692
1393,1,Andy Carroll,2,False,West Ham,2,0,[1140],[1260],[1200.],Newcastle,4,2,[1140],[1260],[1200.],FWD,0,0,0,1,0,0,0,0,0,0,87,21822,55,0,3,0,0,0,7.0,14.0,48.0,6.9,2020-09-12,4,1,0.24522525072097776,0.023493839427828792,0,0.24522525072097776,0.3719605207443237,0.1249198466539383
1394,1,Callum Wilson,8,False,West Ham,2,0,[1140],[1260],[1200.],Newcastle,4,2,[1140],[1260],[1200.],FWD,1,0,0,1,0,0,0,0,0,0,84,538610,65,2,32,0,0,0,32.0,23.3,50.0,10.5,2020-09-12,4,2,0.9157854914665222,0.1685543805360794,1,0.9157854914665222,1.2322783470153809,0.16930840909481049
1395,1,Federico Fernández,6,False,West Ham,2,0,[1140],[1260],[1200.],Newcastle,4,2,[1140],[1260],[1200.],DEF,0,0,0,1,0,0,0,0,0,0,90,88657,50,0,27,0,0,0,26.0,0.1,2.0,2.8,2020-09-12,0,0,0.0,0.0,0,0.0,0.1249198466539383,0.1249198466539383
1396,1,Isaac Hayden,2,False,West Ham,2,0,[1140],[1260],[1200.],Newcastle,4,2,[1140],[1260],[1200.],MID,0,0,0,1,0,0,0,0,0,1,90,5941,50,0,12,0,0,0,12.8,2.0,0.0,1.5,2020-09-12,0,0,0.0,0.0,0,0.0,0.3072628974914551,0.3072628974914551
1397,1,Jamaal Lascelles,6,False,West Ham,2,0,[1140],[1260],[1200.],Newcastle,4,2,[1140],[1260],[1200.],DEF,0,0,0,1,0,0,0,0,0,0,90,219489,45,0,21,0,0,0,21.8,0.3,0.0,2.2,2020-09-12,0,0,0.0,0.0,0,0.0,0.32523462176322937,0.32523462176322937
1398,1,Jamal Lewis,7,False,West Ham,2,0,[1140],[1260],[1200.],Newcastle,4,2,[1140],[1260],[1200.],DEF,0,0,0,1,0,0,0,0,0,0,90,76806,45,1,31,0,0,0,19.4,39.8,0.0,5.9,2020-09-12,0,3,0.0,0.12875334918498993,0,0.0,0.2323032617568969,0.1249198466539383
