player_name,position_x,team,FPL_ID,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists_x,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,GW,team_a,team_a_difficulty,team_h,team_h_difficulty,id_x,name,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,date,id_y,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
Neal Maupay,FWD,Brighton,68,19,Manchester United,8,True,2020-09-26,2,3,3,90,1,0,0,3,0,0,0,0,0,0,2,33,40.2,38.7,62.0,14.1,65,37254,160211,67121,29867,3,Manchester United,3,Brighton,4,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,1,4,0.8946897983551025,90,FWL,Brighton,Manchester United,2,3,2020-09-26,14106,2020,417138,0.4029716551303864,0,3,0,0.1335577815771103,0.8137980699539185,0.680240273475647
Pascal Groß,MID,Brighton,57,19,Manchester United,1,True,2020-09-26,2,3,3,16,0,0,0,1,0,0,0,0,0,0,0,5,4.0,16.2,10.0,3.0,59,-2499,8573,328,2827,3,Manchester United,3,Brighton,4,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,1,0.03902500867843628,13,Sub,Brighton,Manchester United,2,3,2020-09-26,14106,2020,417139,0.0,0,0,0,0.03902500867843628,0.185535341501236,0.14651033282279968
Steven Alzate,MID,Brighton,79,19,Manchester United,2,True,2020-09-26,2,3,3,90,0,0,0,3,0,0,0,0,0,0,0,25,15.8,34.7,4.0,5.5,45,28663,70040,47799,19136,3,Manchester United,3,Brighton,4,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,1,0.08334333449602127,90,MC,Brighton,Manchester United,2,3,2020-09-26,14106,2020,417134,0.6207606792449951,0,3,0,0.08334333449602127,1.0546040534973145,0.8902791738510132
Tariq Lamptey,DEF,Brighton,77,19,Manchester United,4,True,2020-09-26,2,3,3,90,0,1,0,3,0,0,0,0,0,0,0,21,10.0,2.5,2.0,1.5,46,173130,449371,246717,73587,3,Manchester United,3,Brighton,4,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,0,0.0,90,DMR,Brighton,Manchester United,2,3,2020-09-26,14106,2020,417132,0.0,0,0,0,0.0,0.6600639820098877,0.6600639820098877
Aaron Connolly,FWD,Brighton,78,32,Everton,2,False,2020-10-03,4,2,4,65,0,0,0,3,0,0,0,0,0,0,0,7,3.0,0.3,4.0,0.7,55,-1311,55125,10399,11710,4,Brighton,3,Everton,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,0,0.0,68,FW,Everton,Brighton,4,2,2020-10-03,14468,2020,419540,0.0,0,0,0,0.0,0.0,0.0
Adam Lallana,MID,Brighton,54,32,Everton,1,False,2020-10-03,4,2,4,24,0,0,0,1,0,0,0,0,0,0,0,5,3.4,13.0,8.0,2.4,64,-5216,42184,1748,6964,4,Brighton,3,Everton,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,0,0.0,22,Sub,Everton,Brighton,4,2,2020-10-03,14468,2020,419543,0.020070705562829968,0,1,0,0.0,0.020070705562829968,0.0
Adam Webster,DEF,Brighton,66,32,Everton,0,False,2020-10-03,4,2,4,90,0,0,0,4,0,0,0,0,0,0,0,10,6.8,5.0,20.0,3.2,45,-10365,163327,4263,14628,4,Brighton,3,Everton,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,1,0.042450424283742905,90,DC,Everton,Brighton,4,2,2020-10-03,14468,2020,419533,0.0,0,0,0,0.042450424283742905,0.11784200370311736,0.07539158314466476
Ben White,DEF,Brighton,74,32,Everton,0,False,2020-10-03,4,2,4,90,0,0,0,4,0,0,0,0,0,0,0,13,25.4,3.1,0.0,2.9,45,-5843,106517,5085,10928,4,Brighton,3,Everton,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,0,0.0,90,DC,Everton,Brighton,4,2,2020-10-03,14468,2020,419531,0.0,0,0,0,0.0,0.03127384558320045,0.03127384558320045
Joël Veltman,DEF,Brighton,67,32,Everton,0,False,2020-10-03,4,2,4,45,0,0,0,2,0,0,0,0,0,0,0,10,16.6,4.9,4.0,2.6,44,-2785,15576,379,3164,4,Brighton,3,Everton,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,0,0.0,42,Sub,Everton,Brighton,4,2,2020-10-03,14468,2020,419542,0.0,0,0,0,0.0,0.03127384558320045,0.03127384558320045
Leandro Trossard,MID,Brighton,69,32,Everton,5,False,2020-10-03,4,2,4,90,0,1,0,4,0,0,0,0,0,0,0,14,0.0,17.4,43.0,5.9,60,59207,138726,81893,22686,4,Brighton,3,Everton,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,4,0.2047032117843628,90,AMC,Everton,Brighton,4,2,2020-10-03,14468,2020,419538,0.1063513457775116,0,1,0,0.2047032117843628,0.29119211435317993,0.011203140020370485
