,player_name,GW,kickoff_time,total_points,goals_scored,goals_conceded,assists,clean_sheets,penalties_saved,penalties_missed,saves,own_goals,red_cards,yellow_cards,minutes,value,bonus,bps,transfers_in,influence,creativity,threat,ict_index,position_DEF,position_FWD,position_GK,position_MID,team_h_Arsenal,team_h_Manchester City,team_h_Newcastle
100,Jack Cork,1,2019-08-10,3,0,0,0,1,0,0,0,0,0,0,90,50,0,10,0,8.2,2.1,0.0,1.0,0,0,0,1,0,0,0
101,Jannik Vestergaard,1,2019-08-10,1,0,3,0,0,0,0,0,0,0,0,90,50,0,13,0,16.4,1.3,33.0,5.1,1,0,0,0,0,0,0
102,Kayne Ramsay,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
103,Mario Lemina,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
104,Maya Yoshida,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
105,Michael Obafemi,1,2019-08-10,1,0,2,0,0,0,0,0,0,0,0,24,50,0,0,0,0.0,0.4,4.0,0.4,0,1,0,0,0,0,0
106,Mohamed Elyounoussi,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
107,Moussa Djenepo,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
108,Nathan Redmond,1,2019-08-10,2,0,3,0,0,0,0,0,0,0,0,90,65,0,7,0,2.4,3.1,29.0,3.5,0,0,0,1,0,0,0
109,Oriol Romeu Vidal,1,2019-08-10,2,0,3,0,0,0,0,0,0,0,0,90,45,0,8,0,8.8,12.6,11.0,3.2,0,0,0,1,0,0,0
110,Pierre-Emile Højbjerg,1,2019-08-10,1,0,1,0,0,0,0,0,0,0,0,17,50,0,2,0,0.0,1.1,0.0,0.0,0,0,0,1,0,0,0
111,Ryan Bertrand,1,2019-08-10,1,0,3,0,0,0,0,0,0,0,0,90,50,0,8,0,5.4,6.7,7.0,1.9,1,0,0,0,0,0,0
112,Sam Gallagher,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
113,Shane Long,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
114,Jan Bednarek,1,2019-08-10,1,0,3,0,0,0,0,0,0,0,0,90,45,0,13,0,20.4,10.8,10.0,4.1,1,0,0,0,0,0,0
115,Erik Pieters,1,2019-08-10,14,0,0,2,1,0,0,0,0,0,0,90,45,2,43,0,56.8,25.1,1.0,8.3,1,0,0,0,0,0,0
116,Dwight McNeil,1,2019-08-10,3,0,0,0,1,0,0,0,0,0,0,83,60,0,15,0,15.8,5.3,0.0,2.1,0,0,0,1,0,0,0
117,Daniel Drinkwater,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
118,Claudio Bravo,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
119,Danilo Luiz da Silva,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
120,David Silva,1,2019-08-10,3,0,0,0,1,0,0,0,0,0,0,79,75,0,11,0,7.2,32.3,17.0,5.7,0,0,0,1,0,0,0
121,Ederson Santana de Moraes,1,2019-08-10,7,0,0,0,1,0,0,3,0,0,0,90,60,0,26,0,28.8,0.0,0.0,2.9,0,0,1,0,0,0,0
122,Fernando Luiz Rosa,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
123,Gabriel Fernando de Jesus,1,2019-08-10,6,1,0,0,1,0,0,0,0,0,0,68,95,0,31,0,33.4,4.8,42.0,8.0,0,1,0,0,0,0,0
124,Ilkay Gündogan,1,2019-08-10,1,0,0,0,0,0,0,0,0,0,0,11,55,0,3,0,1.2,3.8,0.0,0.5,0,0,0,1,0,0,0
125,John Stones,1,2019-08-10,6,0,0,0,1,0,0,0,0,0,0,90,55,0,33,0,18.8,0.8,0.0,2.0,1,0,0,0,0,0,0
126,José Ángel Esmorís Tasende,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
127,João Pedro Cavaco Cancelo,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
128,Kevin De Bruyne,1,2019-08-10,7,0,0,1,1,0,0,0,0,0,0,78,95,1,37,0,37.8,37.4,27.0,10.2,0,0,0,1,0,0,0
129,Kyle Walker,1,2019-08-10,8,0,0,1,1,0,0,0,0,0,1,90,60,0,33,0,27.4,23.3,20.0,7.1,1,0,0,0,0,0,0
130,Leroy Sané,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
131,Nicolás Otamendi,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
132,Oleksandr Zinchenko,1,2019-08-10,6,0,0,0,1,0,0,0,0,0,0,90,55,0,26,0,17.8,25.0,1.0,4.4,1,0,0,0,0,0,0
133,Phil Foden,1,2019-08-10,1,0,0,0,0,0,0,0,0,0,0,10,55,0,3,0,1.0,0.4,0.0,0.1,0,0,0,1,0,0,0
134,Raheem Sterling,1,2019-08-10,20,3,0,0,1,0,0,0,0,0,1,90,120,3,55,0,103.6,12.7,74.0,19.0,0,0,0,1,0,0,0
135,Riyad Mahrez,1,2019-08-10,14,0,0,3,1,0,0,0,0,0,0,90,85,2,45,0,52.6,51.2,39.0,14.3,0,0,0,1,0,0,0
136,Rodrigo Hernandez,1,2019-08-10,3,0,0,0,1,0,0,0,0,0,0,90,55,0,15,0,12.2,3.1,0.0,1.5,0,0,0,1,0,0,0
137,Sergio Agüero,1,2019-08-10,5,1,0,0,0,0,0,0,0,0,0,21,120,0,27,0,33.4,0.3,17.0,5.1,0,1,0,0,0,0,0
138,Vincent Janssen,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
