,player_name,GW,kickoff_time,total_points,goals_scored,goals_conceded,assists,clean_sheets,penalties_saved,saves,own_goals,red_cards,yellow_cards,minutes,value,bonus,bps,influence,creativity,threat,ict_index,key_passes,xG,xA,npg,npxG,xGChain,xGBuildup,position_DEF,position_FWD,position_MID,team_h_Arsenal,team_h_Manchester City,team_h_Newcastle
79,Ryan Bertrand,1,2019-08-10,1,0,3,0,0,0,0,0,0,0,90,50,0,8,5.4,6.7,7.0,1.9,0,0.0967085212469101,0.0,0,0.0967085212469101,0.5794821977615356,0.5794821977615356,1,0,0,0,0,0
80,Angus Gunn,1,2019-08-10,1,0,3,0,0,0,1,0,0,0,90,45,0,10,9.8,0.0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0
81,Sofiane Boufal,1,2019-08-10,1,0,1,0,0,0,0,0,0,0,17,55,0,2,5.4,12.3,6.0,2.4,1,0.0,0.057172160595655434,0,0.0,0.0,0.0,0,0,1,0,0,0
82,Sokratis Papastathopoulos,1,2019-08-11,8,0,0,0,1,0,0,0,0,0,90,50,2,28,20.2,0.4,0.0,2.1,0,0.0,0.0,0,0.0,0.3383611738681793,0.3383611738681793,1,0,0,0,0,1
83,Nicolas Pépé,1,2019-08-11,1,0,0,0,0,0,0,0,0,0,19,95,0,2,0.2,1.6,0.0,0.2,0,0.0,0.0,0,0.0,0.0,0.0,0,0,1,0,0,1
84,Joseph Willock,1,2019-08-11,3,0,0,0,1,0,0,0,0,0,63,50,0,6,2.0,1.7,8.0,1.2,0,0.04488261044025421,0.0,0,0.04488261044025421,0.6081993579864502,0.5633167624473572,0,0,1,0,0,1
85,Gabriel Teodoro Martinelli Silva,1,2019-08-11,1,0,0,0,0,0,0,0,0,0,6,45,0,2,1.0,0.5,0.0,0.2,0,0.0,0.0,0,0.0,0.0,0.0,0,1,0,0,0,1
86,Daniel Ceballos Fernández,1,2019-08-11,1,0,0,0,0,0,0,0,0,0,26,55,0,3,3.0,2.9,0.0,0.6,0,0.0,0.0,0,0.0,0.0,0.0,0,0,1,0,0,1
87,Andreas Christensen,1,2019-08-11,0,0,4,0,0,0,0,0,0,0,90,50,0,16,23.4,1.6,2.0,2.7,0,0.0,0.0,0,0.0,0.0966263711452484,0.0966263711452484,1,0,0,0,0,0
88,Christian Pulisic,1,2019-08-11,1,0,3,0,0,0,0,0,0,0,32,75,0,4,5.0,11.8,8.0,2.5,1,0.04654185473918915,0.043492574244737625,0,0.04654185473918915,0.11489501595497133,0.11489501595497133,0,0,1,0,0,0
89,César Azpilicueta,1,2019-08-11,0,0,4,0,0,0,0,0,0,0,90,60,0,9,24.0,16.8,2.0,4.3,1,0.0,0.0167279914021492,0,0.0,0.06326984614133835,0.04654185473918915,1,0,0,0,0,0
90,Kurt Zouma,1,2019-08-11,-1,0,4,0,0,0,0,0,0,1,90,50,0,1,0.0,0.6,8.0,0.3,0,0.07348120957612991,0.0,0,0.07348120957612991,0.07442363351583481,0.07442363351583481,1,0,0,0,0,0
91,Yan Valery,1,2019-08-10,1,0,3,0,0,0,0,0,0,0,90,50,0,5,7.8,15.2,6.0,2.9,1,0.0,0.5794821977615356,0,0.0,0.5794821977615356,0.0,1,0,0,0,0,0
92,Solomon March,1,2019-08-10,3,0,0,0,1,0,0,0,0,0,90,50,0,15,13.8,1.7,0.0,1.6,0,0.0,0.0,0,0.0,0.3946564495563507,0.3946564495563507,0,0,1,0,0,0
93,Mathew Ryan,1,2019-08-10,9,0,0,0,1,0,3,0,0,0,90,45,2,29,25.4,0.0,0.0,2.5,0,0.0,0.0,0,0.0,0.3946564495563507,0.3946564495563507,0,0,0,0,0,0
94,Aymeric Laporte,1,2019-08-10,6,0,0,0,1,0,0,0,0,0,90,65,0,26,19.2,0.9,0.0,2.0,0,0.0,0.0,0,0.0,0.07341097295284271,0.07341097295284271,1,0,0,0,0,0
95,Ben Mee,1,2019-08-10,6,0,0,0,1,0,0,0,0,0,90,50,0,27,21.2,0.1,2.0,2.3,0,0.0,0.0,0,0.0,0.0,0.0,1,0,0,0,0,0
96,Chris Wood,1,2019-08-10,2,0,0,0,1,0,0,0,0,0,90,65,0,-1,0.0,0.7,8.0,0.8,0,0.02326565608382225,0.0,0,0.02326565608382225,0.02326565608382225,0.0,0,1,0,0,0,0
97,Dwight McNeil,1,2019-08-10,3,0,0,0,1,0,0,0,0,0,83,60,0,15,15.8,5.3,0.0,2.1,0,0.0,0.0,0,0.0,0.0,0.0,0,0,1,0,0,0
98,Erik Pieters,1,2019-08-10,14,0,0,2,1,0,0,0,0,0,90,45,2,43,56.8,25.1,1.0,8.3,2,0.0150736877694726,0.545457661151886,0,0.0150736877694726,0.5605313777923584,0.0,1,0,0,0,0,0
99,Jack Cork,1,2019-08-10,3,0,0,0,1,0,0,0,0,0,90,50,0,10,8.2,2.1,0.0,1.0,0,0.0,0.0,0,0.0,0.4876362383365631,0.4876362383365631,0,0,1,0,0,0
100,James Tarkowski,1,2019-08-10,6,0,0,0,1,0,0,0,0,0,90,50,0,23,18.0,0.2,36.0,5.4,0,0.03602791577577591,0.0,0,0.03602791577577591,0.08131049573421477,0.08131049573421477,1,0,0,0,0,0
101,Jay Rodriguez,1,2019-08-10,1,0,0,0,0,0,0,0,0,0,6,60,0,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,1,0,0,0,0
102,Johann Berg Gudmundsson,1,2019-08-10,9,1,0,0,1,0,0,0,0,0,90,60,1,28,44.2,33.1,22.0,9.9,2,0.11037641763687134,0.03602791577577591,1,0.11037641763687134,0.11037641763687134,0.0,0,0,1,0,0,0
